Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0013006576 --- Simon Bolivar Intl, Venezuela (CCS)
0.0012950881 --- Viracopos, Brazil (VCP)
0.001271178 --- Lambert St Louis Intl, United States (STL)
0.0012701518 --- Sabiha Gokcen, Turkey (SAW)
0.0012652404 --- Malaga, Spain (AGP)
0.0012555899 --- Galeao Antonio Carlos Jobim, Brazil (GIG)
0.0012555033 --- Gaoqi, China (XMN)
0.0012455772 --- Chicago Midway Intl, United States (MDW)
0.0012342984 --- La Guardia, United States (LGA)
0.0012184518 --- Baltimore Washington Intl, United States (BWI)
0.0012181079 --- Stansted, United Kingdom (STN)
0.00121578 --- Kansai, Japan (KIX)
0.0012094863 --- Juneau Intl, United States (JNU)
0.0011781167 --- Ronald Reagan Washington Natl, United States (DCA)
0.0011696778 --- Netaji Subhash Chandra Bose Intl, India (CCU)
0.0011541817 --- Liuting, China (TAO)
0.0011465869 --- Tocumen Intl, Panama (PTY)
0.0011408303 --- Cairns Intl, Australia (CNS)
0.0011375198 --- Tansonnhat Intl, Vietnam (SGN)
0.0011375174 --- Tianhe, China (WUH)
0.0011348536 --- Houari Boumediene, Algeria (ALG)
0.001133982 --- Huanghua, China (CSX)
0.001133206 --- Tampa Intl, United States (TPA)
0.0011322996 --- Alicante, Spain (ALC)
0.00111872 --- Geneve Cointrin, Switzerland (GVA)
0.0011164812 --- Port Vila Bauerfield, Vanuatu (VLI)
0.001105436 --- Ruzyne, Czech Republic (PRG)
0.0010984206 --- Birmingham, United Kingdom (BHX)
0.0010974266 --- Bali Ngurah Rai, Indonesia (DPS)
0.0010970952 --- Cote D\\'Azur, France (NCE)
0.0010895782 --- Lukou, China (NKG)
0.0010818802 --- Ibiza, Spain (IBZ)
0.0010760832 --- Juan Santamaria Intl, Costa Rica (SJO)
0.0010707113 --- Eduardo Gomes Intl, Brazil (MAO)
0.0010662643 --- Mashhad, Iran (MHD)
0.0010611194 --- Sioux Lookout, Canada (YXL)
0.0010510941 --- Venezia Tessera, Italy (VCE)
0.0010475495 --- Nadi Intl, Fiji (NAN)
0.0010470034 --- Hasanuddin, Indonesia (UPG)
0.0010456025 --- Vnukovo, Russia (VKO)
0.0010440822 --- Saint Exupery, France (LYS)
0.0010374717 --- Deputado Luis Eduardo Magalhaes, Brazil (SSA)
0.0010287364 --- Edmonton Intl, Canada (YEG)
0.0010287144 --- Gran Canaria, Spain (LPA)
0.0010228145 --- Glasgow, United Kingdom (GLA)
0.0010194599 --- Stuttgart, Germany (STR)
0.0010178838 --- Mohammed V Intl, Morocco (CMN)
0.0010144512 --- San Diego Intl, United States (SAN)
0.0010101179 --- Provence, France (MRS)
0.0009983017 --- Edinburgh, United Kingdom (EDI)
0.000990557 --- Adelaide Intl, Australia (ADL)
0.0009897042 --- Hamburg, Germany (HAM)
0.0009696661 --- Bangalore, India (BLR)
0.0009665245 --- Okecie, Poland (WAW)
0.0009597353 --- Nome, United States (OME)
0.0009562649 --- Tribhuvan Intl, Nepal (KTM)
0.0009543116 --- Ben Gurion, Israel (TLV)
0.0009502191 --- Mactan Cebu Intl, Philippines (CEB)
0.0009486746 --- Tancredo Neves Intl, Brazil (CNF)
0.0009475028 --- Yellowknife, Canada (YZF)
0.0009453071 --- Marcos A Gelabert Intl, Panama (PAC)
0.0009409264 --- Nikos Kazantzakis, Greece (HER)
0.000939954 --- Luis Munoz Marin Intl, Puerto Rico (SJU)
0.0009382348 --- Luanda 4 De Fevereiro, Angola (LAD)
0.0009354871 --- Noibai Intl, Vietnam (HAN)
0.0009322036 --- Chennai Intl, India (MAA)
0.0009294505 --- Magenta, New Caledonia (GEA)
0.0009281676 --- Ministro Pistarini, Argentina (EZE)
0.0009279978 --- Queen Alia Intl, Jordan (AMM)
0.0009275666 --- Lynden Pindling Intl, Bahamas (NAS)
0.0009212379 --- Jose Marti Intl, Cuba (HAV)
0.0009183118 --- Henri Coanda, Romania (OTP)
0.0009163003 --- Xinzheng, China (CGO)
0.0009161948 --- Ralph Wien Mem, United States (OTZ)
0.0009124285 --- Antalya, Turkey (AYT)
0.0009105969 --- Kuwait Intl, Kuwait (KWI)
0.0009083837 --- Cleveland Hopkins Intl, United States (CLE)
0.0009049156 --- Zhoushuizi, China (DLC)
0.0008898961 --- Koln Bonn, Germany (CGN)
0.0008894832 --- New Chitose, Japan (CTS)
0.0008858042 --- Boryspil Intl, Ukraine (KBP)
0.0008835923 --- Seeb Intl, Oman (MCT)
0.0008823564 --- Darwin Intl, Australia (DRW)
0.0008802852 --- Koltsovo, Russia (SVX)
0.0008652026 --- Rhodes Diagoras, Greece (RHO)
0.0008644666 --- Wellington Intl, New Zealand (WLG)
0.0008625857 --- Shenyang Taoxian International Airport, China (SHE)
0.0008584196 --- Taiping, China (HRB)
0.0008564496 --- Jinnah Intl, Pakistan (KHI)
0.0008542237 --- Bergamo Orio Al Serio, Italy (BGY)
0.0008465055 --- Juanda, Indonesia (SUB)
0.0008392743 --- Tenerife Sur, Spain (TFS)
0.0008371082 --- Tolmachevo, Russia (OVB)
0.0008361709 --- Salgado Filho, Brazil (POA)
0.0008277945 --- Mariscal Sucre Intl, Ecuador (UIO)
0.0008271056 --- Afonso Pena, Brazil (CWB)
0.0008221299 --- Riga Intl, Latvia (RIX)
0.0008089877 --- Orlando Sanford Intl, United States (SFB)
0.0007970997 --- Yuzhny, Uzbekistan (TAS)
0.0007963839 --- Fukuoka, Japan (FUK)
0.00079564 --- Murtala Muhammed, Nigeria (LOS)
0.0007927077 --- Don Miguel Hidalgo Y Costilla Intl, Mexico (GDL)
0.0007908063 --- Congonhas, Brazil (CGH)
0.0007900165 --- Hyderabad, India (HYD)
0.0007856114 --- Almaty, Kazakhstan (ALA)
0.00078516 --- Longdongbao, China (KWE)
0.0007812303 --- Binhai, China (TSN)
0.0007781358 --- Jinan, China (TNA)
0.0007769731 --- Christchurch Intl, New Zealand (CHC)
0.0007743457 --- Ketchikan Intl, United States (KTN)
0.0007713579 --- Luton, United Kingdom (LTN)
0.0007622286 --- Bristol, United Kingdom (BRS)
0.0007591755 --- Kansas City Intl, United States (MCI)
0.0007584475 --- Bandaranaike Intl Colombo, Sri Lanka (CMB)
0.000749349 --- Porto, Portugal (OPO)
0.0007454022 --- Iqaluit, Canada (YFB)
0.0007389602 --- Winnipeg Intl, Canada (YWG)
0.0007380121 --- Nashville Intl, United States (BNA)
0.0007375086 --- Marechal Rondon, Brazil (CGB)
0.0007314988 --- Chubu Centrair Intl, Japan (NGO)
0.0007296624 --- Flesland, Norway (BGO)
0.0007290079 --- Yangon Intl, Burma (RGN)
0.0007245193 --- Sochi, Russia (AER)
0.0007225255 --- Kotoka Intl, Ghana (ACC)
0.0007212281 --- Nnamdi Azikiwe Intl, Nigeria (ABV)
0.0007204334 --- Luqa, Malta (MLA)
0.0007136114 --- Zia Intl, Bangladesh (DAC)
0.0007117348 --- Carthage, Tunisia (TUN)
0.0007068097 --- William P Hobby, United States (HOU)
0.0007042473 --- Faro, Portugal (FAO)
0.0007037666 --- Nottingham East Midlands, United Kingdom (EMA)
0.000699796 --- Wuxu, China (NNG)
0.0006994031 --- Cape Town Intl, South Africa (CPT)
0.000698348 --- Baita Airport, China (HET)
0.0006977131 --- Lanzarote, Spain (ACE)
0.0006975235 --- King Fahd Intl, Saudi Arabia (DMM)
0.0006930818 --- Val De Cans Intl, Brazil (BEL)
0.0006829032 --- Rankin Inlet, Canada (YRT)
0.0006803066 --- Wusu, China (TYN)
0.0006705254 --- Newcastle, United Kingdom (NCL)
0.0006698224 --- Changle, China (FOC)
0.0006658227 --- Khartoum, Sudan (KRT)
0.0006653377 --- Metropolitan Oakland Intl, United States (OAK)
0.0006647699 --- Ferihegy, Hungary (BUD)
0.0006645429 --- Ivato, Madagascar (TNR)
0.0006629248 --- Larnaca, Cyprus (LCA)
0.0006624552 --- Ioannis Kapodistrias Intl, Greece (CFU)
0.0006581959 --- Kota Kinabalu Intl, Malaysia (BKI)
0.0006576373 --- Keflavik International Airport, Iceland (KEF)
0.0006562198 --- Aniak Airport, United States (ANI)
0.0006501085 --- Bahrain Intl, Bahrain (BAH)
0.0006448384 --- Ottawa Macdonald Cartier Intl, Canada (YOW)
0.0006444516 --- General Mariano Escobedo Intl, Mexico (MTY)
0.0006437621 --- Makedonia, Greece (SKG)
0.0006415576 --- Shiraz Shahid Dastghaib Intl, Iran (SYZ)
0.0006413916 --- Mandalay Intl, Burma (MDL)
0.0006400528 --- Girona, Spain (GRO)
0.0006398429 --- El Alto Intl, Bolivia (LPB)
0.000638541 --- Gimhae Intl, South Korea (PUS)
0.0006383734 --- Austin Bergstrom Intl, United States (AUS)
0.0006380711 --- Catania Fontanarossa, Italy (CTA)
0.0006376975 --- Polonia, Indonesia (MES)
0.00063751 --- Jeju Intl, South Korea (CJU)
0.0006374012 --- Esenboga, Turkey (ESB)
0.0006358499 --- Tanna island, Vanuatu (TAH)
0.0006334061 --- Jose Joaquin De Olmedo Intl, Ecuador (GYE)
0.0006323545 --- Nairobi Wilson, Kenya (WIL)
0.000628037 --- Astana Intl, Kazakhstan (TSE)
0.0006279767 --- EuroAirport Basel-Mulhouse-Freiburg, Switzerland (BSL)
0.0006259071 --- Tripoli Intl, Libya (TIP)
0.000623234 --- Subang-Sultan Abdul Aziz Shah Intl, Malaysia (SZB)
0.0006219245 --- Sepinggan, Indonesia (BPN)
0.0006209265 --- Miri, Malaysia (MYY)
0.0006195429 --- Kahului, United States (OGG)
0.0006192405 --- Memphis Intl, United States (MEM)
0.0006167823 --- Brussels South, Belgium (CRL)
0.0006134584 --- Sept Iles, Canada (YZV)
0.0006116814 --- El Salvador Intl, El Salvador (SAL)
0.0006109828 --- Blagnac, France (TLS)
0.0006079148 --- City, United Kingdom (LCY)
0.0006070476 --- King Salmon, United States (AKN)
0.0006047296 --- Chinggis Khaan Intl, Mongolia (ULN)
0.0006032434 --- Guararapes Gilberto Freyre Intl, Brazil (REC)
0.0006008684 --- Naha, Japan (OKA)
0.0005992393 --- Pisa, Italy (PSA)
0.000597817 --- Raleigh Durham Intl, United States (RDU)
0.0005964466 --- Osaka Intl, Japan (ITM)
0.0005944317 --- Leopold Sedar Senghor Intl, Senegal (DKR)
0.0005926249 --- San Antonio Intl, United States (SAT)
0.0005904832 --- Rafic Hariri Intl, Lebanon (BEY)
0.0005894889 --- Wabush, Canada (YWK)
0.0005886113 --- Santos Dumont, Brazil (SDU)
0.0005862985 --- Chaklala, Pakistan (ISB)
0.0005837959 --- Phuket Intl, Thailand (HKT)
0.000583126 --- Reykjavik, Iceland (RKV)
0.0005803893 --- Menorca, Spain (MAH)
0.0005777451 --- Quebec Jean Lesage Intl, Canada (YQB)
0.0005719043 --- Nausori Intl, Fiji (SUV)
0.0005707359 --- Princess Juliana Intl, Netherlands Antilles (SXM)
0.0005698036 --- Meilan, China (HAK)
0.0005671259 --- Lusaka Intl, Zambia (LUN)
0.0005665557 --- Split, Croatia (SPU)
0.0005661889 --- Louis Armstrong New Orleans Intl, United States (MSY)
0.000561073 --- Valencia, Spain (VLC)
0.0005605085 --- Phoenix International, China (SYX)
0.000557368 --- Rarotonga Intl, Cook Islands (RAR)
0.0005572075 --- Liangjiang, China (KWL)
0.0005569724 --- Norman Y Mineta San Jose Intl, United States (SJC)
0.0005567979 --- Changbei Intl, China (KHN)
0.0005567375 --- Beograd, Serbia (BEG)
0.0005556458 --- Bologna, Italy (BLQ)
0.0005549495 --- Halifax Intl, Canada (YHZ)
0.0005545902 --- Hannover, Germany (HAJ)
0.0005515973 --- Heydar Aliyev, Azerbaijan (GYD)
0.0005457901 --- Schonefeld, Germany (SXF)
0.0005449233 --- Lanzhou Airport, China (LHW)
0.000544535 --- Kos, Greece (KGS)
0.0005440921 --- Cincinnati Northern Kentucky Intl, United States (CVG)
0.0005434628 --- Thunder Bay, Canada (YQT)
0.0005406614 --- Dubrovnik, Croatia (DBV)
0.0005395667 --- Goose Bay, Canada (YYR)
0.0005387803 --- Fuerteventura, Spain (FUE)
0.0005360603 --- Macau Intl, Macau (MFM)
0.0005345459 --- Nantes Atlantique, France (NTE)
0.000532739 --- General Mitchell Intl, United States (MKE)
0.0005325049 --- Leeds Bradford, United Kingdom (LBA)
0.0005301817 --- Capodichino, Italy (NAP)
0.0005293892 --- Langnes, Norway (TOS)
0.0005288746 --- Punta Cana Intl, Dominican Republic (PUJ)
0.0005285073 --- Sacramento Intl, United States (SMF)
0.0005269367 --- Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire (ABJ)
0.0005264915 --- Olbia Costa Smeralda, Italy (OLB)
