Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0002864334 --- Guarulhos Gov Andre Franco Montouro, Brazil (GRU)
0.0002844942 --- Mariscal Sucre Intl, Ecuador (UIO)
0.0002831469 --- Wellington Intl, New Zealand (WLG)
0.0002825526 --- Port Vila Bauerfield, Vanuatu (VLI)
0.0002816032 --- Honolulu Intl, United States (HNL)
0.0002814372 --- Orlando Intl, United States (MCO)
0.0002814014 --- Glasgow, United Kingdom (GLA)
0.0002812286 --- Yellowknife, Canada (YZF)
0.0002810307 --- Mactan Cebu Intl, Philippines (CEB)
0.0002807943 --- Brussels Natl, Belgium (BRU)
0.0002791637 --- Heathrow, United Kingdom (LHR)
0.0002715845 --- Magenta, New Caledonia (GEA)
0.0002713297 --- New Chitose, Japan (CTS)
0.0002705996 --- Arturo Merino Benitez Intl, Chile (SCL)
0.0002693594 --- Dusseldorf, Germany (DUS)
0.0002690788 --- Noibai Intl, Vietnam (HAN)
0.0002690218 --- Sioux Lookout, Canada (YXL)
0.0002679143 --- Jiangbei, China (CKG)
0.0002673007 --- Juan Santamaria Intl, Costa Rica (SJO)
0.0002671603 --- Subang-Sultan Abdul Aziz Shah Intl, Malaysia (SZB)
0.0002662061 --- Henri Coanda, Romania (OTP)
0.0002661461 --- Deputado Luis Eduardo Magalhaes, Brazil (SSA)
0.0002652518 --- Baoan Intl, China (SZX)
0.0002635058 --- Murtala Muhammed, Nigeria (LOS)
0.0002624212 --- Almaty, Kazakhstan (ALA)
0.0002623774 --- Nausori Intl, Fiji (SUV)
0.0002621941 --- Nadi Intl, Fiji (NAN)
0.0002620616 --- Bangalore, India (BLR)
0.0002620295 --- Ralph Wien Mem, United States (OTZ)
0.0002617597 --- Hongqiao Intl, China (SHA)
0.0002617185 --- Chinggis Khaan Intl, Mongolia (ULN)
0.0002605459 --- Hong Kong Intl, Hong Kong (HKG)
0.0002600098 --- Zurich, Switzerland (ZRH)
0.000259817 --- Tripoli Intl, Libya (TIP)
0.0002597057 --- Jeju Intl, South Korea (CJU)
0.0002596049 --- Newark Liberty Intl, United States (EWR)
0.0002594498 --- Ketchikan Intl, United States (KTN)
0.0002586992 --- Bergamo Orio Al Serio, Italy (BGY)
0.0002586373 --- Mohammed V Intl, Morocco (CMN)
0.0002581862 --- Kotoka Intl, Ghana (ACC)
0.0002575593 --- Luis Munoz Marin Intl, Puerto Rico (SJU)
0.0002569474 --- Portland Intl, United States (PDX)
0.0002568098 --- Esenboga, Turkey (ESB)
0.0002560068 --- Cote D\\'Azur, France (NCE)
0.0002552386 --- King Salmon, United States (AKN)
0.0002547733 --- Lisboa, Portugal (LIS)
0.0002543849 --- Taoyuan Intl, Taiwan (TPE)
0.0002523892 --- Nome, United States (OME)
0.0002511162 --- Miri, Malaysia (MYY)
0.0002510365 --- Chicago Midway Intl, United States (MDW)
0.0002504179 --- Sochi, Russia (AER)
0.0002502063 --- Ivato, Madagascar (TNR)
0.000249965 --- Dublin, Ireland (DUB)
0.0002498476 --- Saint Exupery, France (LYS)
0.0002496259 --- Mandalay Intl, Burma (MDL)
0.0002492954 --- Ronald Reagan Washington Natl, United States (DCA)
0.0002492087 --- Edmonton Intl, Canada (YEG)
0.0002487825 --- Tanna island, Vanuatu (TAH)
0.0002485559 --- Girona, Spain (GRO)
0.0002483531 --- Cape Town Intl, South Africa (CPT)
0.0002477374 --- Alicante, Spain (ALC)
0.0002477316 --- Osaka Intl, Japan (ITM)
0.0002477022 --- Cleveland Hopkins Intl, United States (CLE)
0.000247458 --- Bali Ngurah Rai, Indonesia (DPS)
0.0002471097 --- Provence, France (MRS)
0.0002462889 --- Nairobi Wilson, Kenya (WIL)
0.0002462158 --- City, United Kingdom (LCY)
0.0002461251 --- Gran Canaria, Spain (LPA)
0.0002449485 --- Rarotonga Intl, Cook Islands (RAR)
0.0002447887 --- Cancun Intl, Mexico (CUN)
0.000244754 --- Phoenix-Mesa Gateway, United States (AZA)
0.0002442599 --- Birmingham, United Kingdom (BHX)
0.0002422034 --- Beijing Nanyuan Airport, China (NAY)
0.0002420864 --- Abu Dhabi Intl, United Arab Emirates (AUH)
0.0002420031 --- Koltsovo, Russia (SVX)
0.0002419685 --- Iqaluit, Canada (YFB)
0.0002418155 --- Christchurch Intl, New Zealand (CHC)
0.0002418149 --- Yuzhny, Uzbekistan (TAS)
0.0002417232 --- Afonso Pena, Brazil (CWB)
0.0002416331 --- Marechal Rondon, Brazil (CGB)
0.0002415615 --- Yakutsk, Russia (YKS)
0.0002408447 --- Astana Intl, Kazakhstan (TSE)
0.0002397965 --- Khartoum, Sudan (KRT)
0.0002386108 --- Narita Intl, Japan (NRT)
0.0002379656 --- Zia Intl, Bangladesh (DAC)
0.0002376594 --- Hyderabad, India (HYD)
0.0002368584 --- Flesland, Norway (BGO)
0.0002367366 --- Darwin Intl, Australia (DRW)
0.0002365853 --- Tancredo Neves Intl, Brazil (CNF)
0.0002360352 --- Gaoqi, China (XMN)
0.0002359787 --- Yangon Intl, Burma (RGN)
0.0002353168 --- Xiaoshan, China (HGH)
0.000234769 --- Edinburgh, United Kingdom (EDI)
0.0002346728 --- Liuting, China (TAO)
0.0002346072 --- Malpensa, Italy (MXP)
0.0002328935 --- Congonhas, Brazil (CGH)
0.0002328565 --- Reykjavik, Iceland (RKV)
0.0002328225 --- Taiping, China (HRB)
0.0002320368 --- La Guardia, United States (LGA)
0.0002319238 --- Lusaka Intl, Zambia (LUN)
0.000231848 --- Tianhe, China (WUH)
0.0002318356 --- El Alto Intl, Bolivia (LPB)
0.0002318211 --- General Abelardo L Rodriguez Intl, Mexico (TIJ)
0.0002307163 --- Bodo, Norway (BOO)
0.000230677 --- Kota Kinabalu Intl, Malaysia (BKI)
0.0002299997 --- Boryspil Intl, Ukraine (KBP)
0.0002294467 --- Val De Cans Intl, Brazil (BEL)
0.0002292759 --- Sanaa Intl, Yemen (SAH)
0.0002290743 --- Malaga, Spain (AGP)
0.0002287503 --- Wattay Intl, Laos (VTE)
0.0002275315 --- Pampulha Carlos Drummond De Andrade, Brazil (PLU)
0.0002274055 --- Kahului, United States (OGG)
0.0002273614 --- Tobias Bolanos International Airport, Costa Rica (SYQ)
0.0002271071 --- Chaklala, Pakistan (ISB)
0.0002266646 --- Inuvik Mike Zubko, Canada (YEV)
0.0002265865 --- Talagi, Russia (ARH)
0.0002265416 --- Tampa Intl, United States (TPA)
0.0002265038 --- Jose Joaquin De Olmedo Intl, Ecuador (GYE)
0.0002262768 --- Goose Bay, Canada (YYR)
0.0002260449 --- Santo Pekoa International Airport, Vanuatu (SON)
0.0002256662 --- Polonia, Indonesia (MES)
0.0002256146 --- Salgado Filho, Brazil (POA)
0.0002251331 --- Alfonso Bonilla Aragon Intl, Colombia (CLO)
0.0002245346 --- Sentani, Indonesia (DJJ)
0.0002243902 --- Tolmachevo, Russia (OVB)
0.0002241819 --- Tocumen Intl, Panama (PTY)
0.0002238429 --- Kodiak, United States (ADQ)
0.0002238225 --- Zhuliany Intl, Ukraine (IEV)
0.0002236058 --- Kirkwall, United Kingdom (KOI)
0.0002236035 --- Wabush, Canada (YWK)
0.0002233319 --- Seeb Intl, Oman (MCT)
0.000223318 --- Princess Juliana Intl, Netherlands Antilles (SXM)
0.0002231781 --- Langnes, Norway (TOS)
0.0002230978 --- Huanghua, China (CSX)
0.0002227144 --- Tegel, Germany (TXL)
0.0002226039 --- Naha, Japan (OKA)
0.0002225701 --- Aniak Airport, United States (ANI)
0.0002224981 --- Zhoushuizi, China (DLC)
0.0002224413 --- Winnipeg Intl, Canada (YWG)
0.0002216648 --- Fukuoka, Japan (FUK)
0.0002214862 --- Doha Intl, Qatar (DOH)
0.0002214754 --- Baltimore Washington Intl, United States (BWI)
0.0002212434 --- Brussels South, Belgium (CRL)
0.0002210282 --- Don Miguel Hidalgo Y Costilla Intl, Mexico (GDL)
0.0002206741 --- Galeao Antonio Carlos Jobim, Brazil (GIG)
0.000219972 --- Khrabrovo, Russia (KGD)
0.0002199637 --- Rhodes Diagoras, Greece (RHO)
0.00021993 --- Luton, United Kingdom (LTN)
0.00021982 --- Shiraz Shahid Dastghaib Intl, Iran (SYZ)
0.0002196857 --- Chiang Mai Intl, Thailand (CNX)
