Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0004058621 --- Netaji Subhash Chandra Bose Intl, India (CCU)
0.0003997362 --- Honolulu Intl, United States (HNL)
0.0003996315 --- Marcos A Gelabert Intl, Panama (PAC)
0.0003980848 --- Jinnah Intl, Pakistan (KHI)
0.0003978264 --- Stansted, United Kingdom (STN)
0.0003956773 --- Port Vila Bauerfield, Vanuatu (VLI)
0.0003937364 --- Hong Kong Intl, Hong Kong (HKG)
0.0003895262 --- Mariscal Sucre Intl, Ecuador (UIO)
0.0003865471 --- Wellington Intl, New Zealand (WLG)
0.0003863682 --- Glasgow, United Kingdom (GLA)
0.0003855215 --- Yellowknife, Canada (YZF)
0.0003840967 --- Mactan Cebu Intl, Philippines (CEB)
0.0003827251 --- Dusseldorf, Germany (DUS)
0.0003807322 --- Arturo Merino Benitez Intl, Chile (SCL)
0.0003703376 --- Newark Liberty Intl, United States (EWR)
0.000369503 --- Jiangbei, China (CKG)
0.00036753 --- Sioux Lookout, Canada (YXL)
0.000365056 --- New Chitose, Japan (CTS)
0.0003645819 --- Juan Santamaria Intl, Costa Rica (SJO)
0.0003645305 --- Magenta, New Caledonia (GEA)
0.0003636396 --- Noibai Intl, Vietnam (HAN)
0.0003634958 --- Zurich, Switzerland (ZRH)
0.0003609497 --- Baoan Intl, China (SZX)
0.0003600942 --- Deputado Luis Eduardo Magalhaes, Brazil (SSA)
0.0003569751 --- Nadi Intl, Fiji (NAN)
0.0003559638 --- Hongqiao Intl, China (SHA)
0.0003557426 --- Taoyuan Intl, Taiwan (TPE)
0.0003544819 --- Henri Coanda, Romania (OTP)
0.0003530176 --- Lisboa, Portugal (LIS)
0.0003513447 --- Subang-Sultan Abdul Aziz Shah Intl, Malaysia (SZB)
0.0003510181 --- Murtala Muhammed, Nigeria (LOS)
0.0003510091 --- Ralph Wien Mem, United States (OTZ)
0.0003492142 --- Bangalore, India (BLR)
0.000348718 --- Portland Intl, United States (PDX)
0.0003478072 --- Almaty, Kazakhstan (ALA)
0.0003462959 --- Mohammed V Intl, Morocco (CMN)
0.0003447695 --- Narita Intl, Japan (NRT)
0.0003446063 --- Ketchikan Intl, United States (KTN)
0.0003444709 --- Chinggis Khaan Intl, Mongolia (ULN)
0.0003423399 --- Nausori Intl, Fiji (SUV)
0.0003421892 --- Luis Munoz Marin Intl, Puerto Rico (SJU)
0.0003413509 --- Cote D\\'Azur, France (NCE)
0.0003404318 --- Bergamo Orio Al Serio, Italy (BGY)
0.0003394024 --- Abu Dhabi Intl, United Arab Emirates (AUH)
0.0003393412 --- Kotoka Intl, Ghana (ACC)
0.0003386084 --- Tripoli Intl, Libya (TIP)
0.0003380711 --- Jeju Intl, South Korea (CJU)
0.0003366629 --- Dublin, Ireland (DUB)
0.0003353571 --- Nome, United States (OME)
0.0003347809 --- Chicago Midway Intl, United States (MDW)
0.0003337907 --- King Salmon, United States (AKN)
0.0003333674 --- Edmonton Intl, Canada (YEG)
0.0003323315 --- Esenboga, Turkey (ESB)
0.0003306942 --- Ronald Reagan Washington Natl, United States (DCA)
0.0003302133 --- Cancun Intl, Mexico (CUN)
0.000329845 --- Bali Ngurah Rai, Indonesia (DPS)
0.0003279965 --- Alicante, Spain (ALC)
0.0003279809 --- Saint Exupery, France (LYS)
0.0003257977 --- Ivato, Madagascar (TNR)
0.0003250162 --- Mandalay Intl, Burma (MDL)
0.0003250149 --- Sochi, Russia (AER)
0.000324988 --- Miri, Malaysia (MYY)
0.0003242351 --- Cleveland Hopkins Intl, United States (CLE)
0.0003236166 --- Provence, France (MRS)
0.0003215492 --- Cape Town Intl, South Africa (CPT)
0.0003204107 --- Gran Canaria, Spain (LPA)
0.0003182547 --- Tanna island, Vanuatu (TAH)
0.0003182084 --- Birmingham, United Kingdom (BHX)
0.00031788 --- Girona, Spain (GRO)
0.0003166053 --- Osaka Intl, Japan (ITM)
0.0003158051 --- Nairobi Wilson, Kenya (WIL)
0.0003133902 --- Koltsovo, Russia (SVX)
0.0003124902 --- City, United Kingdom (LCY)
0.000311951 --- Rarotonga Intl, Cook Islands (RAR)
0.0003114581 --- Malpensa, Italy (MXP)
0.0003111219 --- Iqaluit, Canada (YFB)
0.0003110599 --- Yuzhny, Uzbekistan (TAS)
0.0003108975 --- Afonso Pena, Brazil (CWB)
0.0003108941 --- Christchurch Intl, New Zealand (CHC)
0.0003095451 --- Marechal Rondon, Brazil (CGB)
