Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.000655297 --- Jose Marti Intl, Cuba (HAV)
0.0006516024 --- Luanda 4 De Fevereiro, Angola (LAD)
0.0006485693 --- Netaji Subhash Chandra Bose Intl, India (CCU)
0.0006479937 --- Hasanuddin, Indonesia (UPG)
0.0006456677 --- Taoyuan Intl, Taiwan (TPE)
0.000645617 --- Arturo Merino Benitez Intl, Chile (SCL)
0.0006438791 --- Zurich, Switzerland (ZRH)
0.0006421768 --- Abu Dhabi Intl, United Arab Emirates (AUH)
0.0006371987 --- Port Vila Bauerfield, Vanuatu (VLI)
0.0006318449 --- Orlando Sanford Intl, United States (SFB)
0.0006206391 --- Marcos A Gelabert Intl, Panama (PAC)
0.000618949 --- Stansted, United Kingdom (STN)
0.0006137975 --- Lisboa, Portugal (LIS)
0.0006128449 --- Nnamdi Azikiwe Intl, Nigeria (ABV)
0.0006103305 --- Jiangbei, China (CKG)
0.0005988231 --- Jinnah Intl, Pakistan (KHI)
0.0005900589 --- Glasgow, United Kingdom (GLA)
0.0005891958 --- Yellowknife, Canada (YZF)
0.0005836827 --- Mactan Cebu Intl, Philippines (CEB)
0.0005830827 --- Mariscal Sucre Intl, Ecuador (UIO)
0.000579737 --- Sioux Lookout, Canada (YXL)
0.0005796015 --- Baoan Intl, China (SZX)
0.0005783648 --- Wellington Intl, New Zealand (WLG)
0.0005772666 --- Juan Santamaria Intl, Costa Rica (SJO)
0.0005722498 --- Hongqiao Intl, China (SHA)
0.0005696921 --- Nadi Intl, Fiji (NAN)
0.0005695185 --- Portland Intl, United States (PDX)
0.0005583413 --- Deputado Luis Eduardo Magalhaes, Brazil (SSA)
0.0005552377 --- Dublin, Ireland (DUB)
0.0005536407 --- Cancun Intl, Mexico (CUN)
0.0005529921 --- Noibai Intl, Vietnam (HAN)
0.0005454498 --- New Chitose, Japan (CTS)
0.0005450098 --- Magenta, New Caledonia (GEA)
0.0005356447 --- Chicago Midway Intl, United States (MDW)
0.0005349681 --- Ralph Wien Mem, United States (OTZ)
0.0005341574 --- Mohammed V Intl, Morocco (CMN)
0.0005334881 --- Malpensa, Italy (MXP)
0.0005304483 --- Edmonton Intl, Canada (YEG)
0.0005284074 --- Cote D\\'Azur, France (NCE)
0.0005282184 --- Bali Ngurah Rai, Indonesia (DPS)
0.0005269578 --- Bangalore, India (BLR)
0.0005236099 --- Henri Coanda, Romania (OTP)
0.0005233505 --- Ronald Reagan Washington Natl, United States (DCA)
0.000521752 --- Murtala Muhammed, Nigeria (LOS)
0.0005186468 --- Luis Munoz Marin Intl, Puerto Rico (SJU)
0.0005184154 --- Nome, United States (OME)
0.000515201 --- Alicante, Spain (ALC)
0.0005138025 --- Ketchikan Intl, United States (KTN)
0.0005102952 --- Almaty, Kazakhstan (ALA)
0.000507534 --- Xiaoshan, China (HGH)
0.0004999241 --- Saint Exupery, France (LYS)
0.0004972919 --- Bergamo Orio Al Serio, Italy (BGY)
0.0004939488 --- Provence, France (MRS)
0.000492876 --- Subang-Sultan Abdul Aziz Shah Intl, Malaysia (SZB)
0.0004923861 --- Chinggis Khaan Intl, Mongolia (ULN)
0.0004923419 --- La Guardia, United States (LGA)
0.0004923145 --- Kotoka Intl, Ghana (ACC)
0.0004919333 --- Doha Intl, Qatar (DOH)
0.0004892583 --- Cleveland Hopkins Intl, United States (CLE)
0.0004873662 --- Birmingham, United Kingdom (BHX)
0.000483968 --- Gaoqi, China (XMN)
0.0004833838 --- Gran Canaria, Spain (LPA)
0.0004786345 --- King Salmon, United States (AKN)
0.0004786293 --- Nausori Intl, Fiji (SUV)
0.0004778454 --- Malaga, Spain (AGP)
0.0004772208 --- Tocumen Intl, Panama (PTY)
0.0004747142 --- Galeao Antonio Carlos Jobim, Brazil (GIG)
0.0004746543 --- Tegel, Germany (TXL)
0.0004737321 --- Tripoli Intl, Libya (TIP)
0.0004734802 --- Ivato, Madagascar (TNR)
0.0004730291 --- Jeju Intl, South Korea (CJU)
0.0004721816 --- Mandalay Intl, Burma (MDL)
0.0004711715 --- Koltsovo, Russia (SVX)
0.0004697776 --- Sochi, Russia (AER)
0.0004690578 --- Tancredo Neves Intl, Brazil (CNF)
0.0004683092 --- Darwin Intl, Australia (DRW)
0.0004656269 --- Cape Town Intl, South Africa (CPT)
0.0004647179 --- Liuting, China (TAO)
0.0004630487 --- Miri, Malaysia (MYY)
